"Country","2020-02-15","2020-02-16","2020-02-17","2020-02-18","2020-02-19","2020-02-20","2020-02-21","2020-02-22","2020-02-23","2020-02-24","2020-02-25","2020-02-26","2020-02-27","2020-02-28","2020-02-29","2020-03-01","2020-03-02","2020-03-03","2020-03-04","2020-03-05","2020-03-06","2020-03-07","2020-03-08","2020-03-09","2020-03-10","2020-03-11","2020-03-12","2020-03-13","2020-03-14","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-22","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29","2020-03-30","2020-03-31","2020-04-01","2020-04-02","2020-04-03","2020-04-04","2020-04-05","2020-04-06","2020-04-07","2020-04-08","2020-04-09","2020-04-10","2020-04-11","2020-04-12","2020-04-13","2020-04-14","2020-04-15","2020-04-16","2020-04-17","2020-04-18","2020-04-19","2020-04-20","2020-04-21","2020-04-22","2020-04-23","2020-04-24","2020-04-25","2020-04-26","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-02","2020-05-03","2020-05-04","2020-05-05","2020-05-06","2020-05-07","2020-05-08","2020-05-09","2020-05-10","2020-05-11","2020-05-12","2020-05-13","2020-05-14","2020-05-15","2020-05-16","2020-05-17","2020-05-18","2020-05-19","2020-05-20","2020-05-21","2020-05-22","2020-05-23","2020-05-24","2020-05-25","2020-05-26","2020-05-27","2020-05-28","2020-05-29","2020-05-30","2020-05-31","2020-06-01","2020-06-02","2020-06-03","2020-06-04","2020-06-05"
"Afghanistan",-7.33,4.83,5.33,4.17,1.5,1.83,4.33,4.33,4,6,4,2.5,2,2.5,1.83,5.67,5,4.33,1.67,4.17,5.5,3.5,5.17,-9,2.33,1.17,0.5,4.5,3.5,4.5,3.83,1.17,1,-0.17,-5.33,-14.83,-4,-3.67,-6,-8.17,-8,-5,-18.5,-21.5,-24.33,-25.67,-23.5,-22.67,-16.17,-22.67,-23.67,-24.17,-25.17,-28.17,-28.5,-21,-27,-28.33,-27.33,-28.83,-27,-27.83,-21.17,-25.83,-26.83,-24.67,-25.33,-25,-25.17,-22.33,-27,-27.5,-30.5,-26.67,-24,-26.67,-22.33,-27,-29.5,-26.67,-27.17,-25.5,-25.17,-17.5,-22.67,-24.67,-21.67,-21.83,-21.67,-20.33,-9.33,-14.33,-20,-15.83,-16.83,-17.17,-15.67,2.33,-22.67,-36.33,-33.67,-36,-29.83,-27.83,-19.5,-23.33,-23.17,-22.5,-27.67,-33,-35,-34.5
"Angola",2.33,-2.83,-1,-1.33,-4.5,-1.5,0.83,3.17,-1.17,-15,-22.17,-2.33,1.67,4.17,5.83,5.17,5.5,4.17,4.83,6.17,4.33,6.33,2.33,2,1.17,0.33,2.5,0.83,1.83,-2.83,-1.5,-3.33,-1.83,2,-2.17,-1,-17.33,-32.17,-15.5,-15.5,-6.17,-29.17,-25.83,-31,-34.83,-36.17,-36.5,-35.17,-36.33,-33.83,-34.17,-34.17,-35.67,-36.33,-33.17,-40.67,-29.17,-32.33,-36,-34.67,-37,-34.5,-36.33,-35.5,-36,-36.67,-35,-37.67,-34,-35.17,-26.17,-28,-25.17,-20.5,-21,-16.5,-35.83,-17.67,-28,-24.67,-22.5,-23.67,-20,-23.67,-15.83,-26.5,-23.33,-21.17,-23,-20.33,-22.33,-15.5,-26.33,-22.17,-22,-23.67,-20.5,-21.5,-15,-24.17,-20,-16.33,-14.17,-11.17,-10.33,-4.83,-12.67,-7,-9,-10.67,-9.17,-10.83
"Antigua",-1.83,-0.5,0,1.17,0.17,-0.5,-1.17,0.5,1.67,-1.5,0.33,-2.17,1,4.83,5.33,5.83,6.17,2.83,2.33,2.67,2.83,4.17,3.67,0.17,2.5,1.17,4.17,4.67,-3,-6.83,-7.33,-10.67,-11.83,-10.83,-10.67,-13.33,-24.33,-16.5,-18.33,-16.67,-17.17,-15,-27,-35.33,-25.17,-22.17,-19.17,-68,-65.17,-61.83,-57.83,-60.67,-59.17,-58.33,-51.17,-75.83,-53.67,-55.67,-65.33,-56.83,-53.83,-53.5,-52,-50.67,-52,-51.5,-51.83,-51,-43.67,-42.33,-42,-46.17,-36.67,-37.5,-35.33,-34.17,-32.33,-37.17,-42.83,-56.17,-31.83,-28,-29.83,-27.33,-32.33,-36.17,-30.17,-30.17,-30.33,-27.5,-24,-28.33,-32.33,-25,-26.33,-25.83,-25.33,-22.67,-26.33,-30.83,-22.83,-25.17,-23.33,-23.33,-18.17,-20,-28.33,-47,-19.67,-21.5,-21.67,-19.83
"Argentina",-0.33,-5,-5.83,3.5,4.67,1.17,2.5,3.5,7.17,-12.5,-17.83,4.67,2.33,2.83,1.83,-1.67,3.17,3.67,4.17,3.83,5.83,2.33,-0.33,4,5.33,-6.33,2.5,2,-11.67,-12.33,-11.33,-23.17,-24.17,-23,-50.33,-53.5,-58.33,-62,-62.17,-55.17,-55.67,-53.67,-53.17,-57.67,-55.33,-59.5,-52.67,-52.67,-49.67,-49.5,-54.33,-49.5,-47,-46,-48.5,-58.83,-48.33,-53.67,-49,-45.83,-45.5,-49,-48.17,-49.83,-55.5,-49.83,-49.33,-49.17,-49.5,-48.83,-50.83,-54.83,-50.67,-52.33,-46.17,-43.83,-62.17,-45.5,-53,-47,-45.67,-44,-43.17,-41.17,-41.5,-49.17,-42.17,-41.17,-41.17,-41.83,-40,-39.67,-47.33,-41.33,-40.67,-41.33,-42.83,-41,-38.33,-45.83,-56.5,-40.17,-40,-40.17,-38.5,-39.17,-46.67,-40.5,-39.17,-39.5,-39.67,-37.67
"Aruba",6.5,-1,-0.67,-1,-1.67,3.33,2,1.83,3.83,-15.17,4.83,0.5,1,4.67,5.67,4.33,2.67,6.33,3.67,0.83,4,5,1,2.67,1.33,0,0.17,4.17,-5,-10.67,-9.83,-14.83,-39.83,-26.17,-27.5,-34.33,-44.33,-34,-34.5,-36.5,-35.83,-30.83,-32.17,-65.67,-48.83,-46.5,-45.67,-45.17,-43.17,-50.33,-53,-41.67,-41.33,-40,-37.17,-77.17,-46.83,-71.17,-70.33,-37.83,-40.83,-40.67,-39.17,-48.67,-53.67,-40.17,-41.5,-40.67,-38.83,-36,-38,-44.67,-58.33,-32.5,-32.67,-28.67,-57,-32.83,-41.83,-28.67,-27.5,-29.17,-29,-26.33,-26.33,-35,-28.83,-28.67,-30,-30,-28,-30.67,-36.33,-25.67,-26.83,-22.67,-41.33,-20.5,-23.5,-30.5,-21.5,-22.67,-22.33,-20.83,-14.67,-16.17,-23,-18.5,-18.5,-20.33,-19.83,-14.5
"Australia",1.83,3.17,2.5,0.33,2,4.33,5.17,4.83,3,2.33,2,2.83,3.67,6.33,7.33,6,3.33,2.33,2.83,1.17,5.67,5,3.83,-2.33,2.33,4,5,4.67,-0.17,0.33,3.33,0.5,-0.17,-1.83,-3.33,-6.67,-9.83,-10.17,-18,-20.17,-19.83,-20.83,-24.83,-29.5,-27,-27.67,-27.83,-29.67,-27.5,-31.17,-31.5,-27.5,-28,-26.67,-20.83,-50,-29.83,-38.33,-35,-27.17,-26.5,-25.83,-25.33,-27.5,-29.17,-27.67,-26.67,-25.83,-25,-23,-32,-24.5,-25.83,-26.33,-28.83,-27.67,-24.83,-22.83,-21.67,-27,-23,-23.17,-21.33,-18.33,-16.83,-18.33,-21.67,-21.67,-21.33,-20.67,-19.17,-15.17,-15,-19.5,-20,-19.67,-21.17,-18.5,-16.83,-19,-19.83,-18.33,-16.67,-15.17,-15.67,-10.5,-13.83,-18.5,-18.33,-15.33,-14.17,-11.67
"Austria",10.5,14.83,8,8.5,1.83,2.5,1,13,6.33,8,15,2.33,3.17,1.17,2.5,2.83,4.5,0.33,3.5,1.5,-1,-0.17,12.33,0.5,2.33,2.5,3.67,-2.5,-15.67,-26.17,-33.67,-41.83,-38.67,-40.5,-40.33,-51.5,-55.67,-45.5,-43.67,-46.83,-46.33,-41.33,-38.83,-50.33,-45.17,-41.83,-40.5,-40.67,-42,-41,-41,-36.83,-33.83,-34,-34.83,-36.5,-36.67,-40,-55.67,-35.5,-30.67,-29.83,-30.17,-29.33,-45.17,-30.33,-27.17,-26.5,-27.83,-29.5,-27.83,-27,-28.67,-23.67,-32.67,-21,-48.33,-18.5,-29.67,-18.5,-22.67,-18.5,-16.5,-15,-12.67,-22.5,-21.33,-19.17,-21.5,-23.17,-26.33,-13.67,-8.67,-8,-9.17,-3.83,-29.17,-10.33,-16.33,-18,-18.33,-16.17,-6.67,-19,-14,-7.17,-22.17,-16.5,-2.5,-7,-9.33,-14
"Bahrain",-1.33,-1,-2.5,-2,-2.83,-1.83,-0.33,-0.5,-0.83,-2.33,-3.17,-7,-7.17,-9.67,-5.17,-3.67,-5.33,-5.5,-5.83,-5.83,-7.17,-5.33,-5.17,-6.83,-6,-7.33,-8,-12,-11.33,-6.83,-9,-9.83,-14.83,-16.67,-24.33,-18.5,-17.5,-18.67,-19.83,-20.17,-25.5,-38.5,-29.83,-25.67,-25.83,-23.67,-24.5,-24.5,-33.33,-25,-21.17,-22.83,-23,-24.33,-24.17,-32.17,-23.17,-20.33,-21.5,-21,-21.5,-21.33,-29.83,-21.5,-19.17,-18.67,-17.67,-17.33,-18.5,-36,-27.83,-22.33,-23.33,-23,-24.17,-23.83,-32.33,-28,-24.33,-22.33,-21.67,-22.83,-21,-26.83,-20.33,-17.67,-19,-19.67,-21.67,-21.67,-29.17,-21.83,-17.83,-17.83,-18.17,-17,-17,-24.67,-15.67,-25.5,-24,-23,-17.5,-18,-25.5,-17.83,-14,-15.17,-15.33,-17,-17.17,-24.33
"Bangladesh",6,3.83,2.67,2.67,2.17,3.67,5.5,5.17,5.17,3,1.5,2.5,5.33,7.33,7.5,5.5,4,3,4.67,7,-6,8.17,8.17,5,5.33,5,5.33,5.33,3.33,5.5,5.33,-4,-0.33,-3.5,-8.33,-9.17,-11,-14,-15.17,-26,-44,-39.83,-40.5,-40.33,-40.5,-39.5,-39.33,-42,-39,-39.5,-39.33,-42.5,-43.5,-43.67,-45.5,-44.67,-45,-44.5,-44.33,-45.67,-45.17,-44,-42.5,-44.33,-44,-44.67,-44,-44,-44.17,-41.67,-44.17,-45,-43.83,-43.67,-41.83,-41.83,-42,-41,-40,-40.33,-40.17,-40.5,-38.33,-35.83,-35.33,-33.17,-33.33,-32.67,-34.17,-32.67,-29.67,-29.17,-30.17,-30.33,-30.5,-34.33,-40.33,-26.17,-28,-26.33,-34.5,-37.17,-40.5,-33,-29.33,-29.17,-24.5,-25,-25.17,-25,-27.83,-23.67
"Barbados",1.17,2.33,-0.5,-1,-5,2,1.67,0.5,2.33,-1,3.67,4.5,6.67,7.33,8,14.17,0.67,1.17,1.67,2,2.67,-0.83,1.5,-2.33,-0.17,0.67,2,1.67,0.17,-0.5,-1.5,1,-5.5,-9.17,-12,-13.5,-22.33,-18.83,-19.17,-20.33,-20.67,-19.67,-29.83,-48.5,-45.83,-44.5,-43.67,-43.17,-43.83,-75.5,-72.17,-65.67,-63.67,-59.33,-55.17,-76,-54.83,-67.83,-67.17,-58.83,-49.5,-50.17,-49,-51.17,-56,-52.17,-52.33,-49,-52.5,-49.17,-51.17,-55.5,-48.67,-66.83,-46.17,-43.67,-65,-47.67,-54.83,-41.83,-42.5,-37.5,-39.17,-38,-38.33,-45.17,-39.17,-38.5,-36.83,-39,-37.33,-38.5,-45,-34.5,-35.17,-35.83,-33.5,-31.67,-31.67,-38,-31.17,-31.5,-28.33,-29.83,-30,-29.5,-36.33,-52.33,-23.83,-24.83,-25.5,-28.83
