"State","County","Key"
"Alaska","Anchorage","Alaska Anchorage"
"Alaska","Bethel","Alaska Bethel"
"Alaska","Fairbanks North Star","Alaska Fairbanks North Star"
"Alaska","Juneau","Alaska Juneau"
"Alaska","Ketchikan Gateway","Alaska Ketchikan Gateway"
"Alaska","Kodiak Island","Alaska Kodiak Island"
"Alaska","Matanuska-Susitna","Alaska Matanuska-Susitna"
"Alaska","North Slope","Alaska North Slope"
"Alaska","Sitka","Alaska Sitka"
"Alaska","Southeast Fairbanks","Alaska Southeast Fairbanks"
"Alaska","Valdez-Cordova","Alaska Valdez-Cordova"
"Colorado","Broomfield County","Colorado Broomfield County"
"Maryland","Baltimore","Maryland Baltimore"
"Minnesota","Lac qui Parle County","Minnesota Lac qui Parle County"
"Missouri","Jackson County","Missouri Jackson County"
"Missouri","St. Louis","Missouri St. Louis"
"New Mexico","Doña Ana County","New Mexico Doña Ana County"
"South Dakota","Shannon County","South Dakota Shannon County"
"Virginia","Alexandria","Virginia Alexandria"
"Virginia","Bristol","Virginia Bristol"
"Virginia","Buena Vista","Virginia Buena Vista"
"Virginia","Charlottesville","Virginia Charlottesville"
"Virginia","Chesapeake","Virginia Chesapeake"
"Virginia","Colonial Heights","Virginia Colonial Heights"
"Virginia","Covington","Virginia Covington"
"Virginia","Danville","Virginia Danville"
"Virginia","Emporia","Virginia Emporia"
"Virginia","Fairfax","Virginia Fairfax"
"Virginia","Falls Church","Virginia Falls Church"
"Virginia","Franklin","Virginia Franklin"
"Virginia","Fredericksburg","Virginia Fredericksburg"
"Virginia","Galax","Virginia Galax"
"Virginia","Hampton","Virginia Hampton"
"Virginia","Harrisonburg","Virginia Harrisonburg"
"Virginia","Hopewell","Virginia Hopewell"
"Virginia","Lexington","Virginia Lexington"
"Virginia","Lynchburg","Virginia Lynchburg"
"Virginia","Manassas","Virginia Manassas"
"Virginia","Manassas Park","Virginia Manassas Park"
"Virginia","Martinsville","Virginia Martinsville"
"Virginia","Mathews County","Virginia Mathews County"
"Virginia","Newport News","Virginia Newport News"
"Virginia","Norfolk","Virginia Norfolk"
"Virginia","Norton","Virginia Norton"
"Virginia","Petersburg","Virginia Petersburg"
"Virginia","Poquoson","Virginia Poquoson"
"Virginia","Portsmouth","Virginia Portsmouth"
"Virginia","Radford","Virginia Radford"
"Virginia","Richmond","Virginia Richmond"
"Virginia","Roanoke","Virginia Roanoke"
"Virginia","Salem","Virginia Salem"
"Virginia","Staunton","Virginia Staunton"
"Virginia","Suffolk","Virginia Suffolk"
"Virginia","Virginia Beach","Virginia Virginia Beach"
"Virginia","Waynesboro","Virginia Waynesboro"
"Virginia","Williamsburg","Virginia Williamsburg"
"Virginia","Winchester","Virginia Winchester"
