"FIPS","Name","LONGITUDE","LATITUDE","LONGITUDE.1","LATITUDE.1"
1001,"Autauga County",-86.494165,32.500389,1267688.77069565,-1286821.04841809
1003,"Baldwin County",-87.762381,30.548923,1176443.00566398,-1519115.33674589
1005,"Barbour County",-85.310038,31.844036,1388459.91259376,-1340425.59808661
1007,"Bibb County",-87.127659,33.030921,1200982.48266041,-1237713.91908573
1009,"Blount County",-86.591491,33.955243,1236164.55822615,-1128447.86794178
1011,"Bullock County",-85.701192,32.116327,1347522.03791352,-1316828.04306594
1013,"Butler County",-86.65355,31.773539,1263855.60635619,-1368965.01937349
1015,"Calhoun County",-85.819442,33.72546,1310342.67262258,-1142101.70906408
1017,"Chambers County",-85.266474,32.860439,1375522.71476187,-1228285.61619322
1019,"Cherokee County",-85.629194,34.179333,1320111.44965767,-1089319.35388012
1021,"Chilton County",-86.687406,32.877547,1243997.33384411,-1248249.33603255
1023,"Choctaw County",-88.264164,32.016562,1109369.2246901,-1364578.70498315
1025,"Clarke County",-87.815673,31.685685,1155960.78790403,-1395014.18733356
1027,"Clay County",-85.820227,33.272412,1317707.10475137,-1191847.27391921
1029,"Cleburne County",-85.494315,33.62977,1341642.17621647,-1147525.97794062
1031,"Coffee County",-85.904715,31.354433,1340624.2903768,-1403565.32058383
1033,"Colbert County",-87.685151,34.723385,1125142.07119198,-1059210.15893471
1035,"Conecuh County",-86.996483,31.418674,1236863.77264679,-1412912.3036634
1037,"Coosa County",-86.155035,32.975932,1291657.13764168,-1229524.76597046
1039,"Covington County",-86.410955,31.282449,1294067.65836693,-1419228.2976018
1041,"Crenshaw County",-86.29708,31.743487,1297727.30417371,-1366933.75956751
1043,"Cullman County",-86.831859,34.162362,1211038.49508577,-1109151.2375935
1045,"Dale County",-85.641269,31.383346,1364934.14402718,-1396242.06079869
1047,"Dallas County",-87.034955,32.408815,1218767.42203661,-1304748.43577755
1049,"DeKalb County",-85.817208,34.45511,1298451.6908252,-1061944.85155302
1051,"Elmore County",-86.225647,32.559652,1291697.47893944,-1276290.19816689
1053,"Escambia County",-87.282053,31.088737,1214623.52161183,-1453199.14793489
1055,"Etowah County",-86.025393,34.013693,1286833.51969289,-1113604.05205658
1057,"Fayette County",-87.770355,33.726422,1131709.11798321,-1170050.52870556
1059,"Franklin County",-87.793594,34.460481,1119101.34064756,-1089584.62019334
1061,"Geneva County",-85.788849,31.09426,1355640.20832009,-1430265.58085166
1063,"Greene County",-87.924,32.830505,1130089.88762831,-1270631.90181014
1065,"Hale County",-87.626084,32.775804,1158507.27846216,-1272650.6990621
1067,"Henry County",-85.268828,31.478593,1398349.63313643,-1379803.3628869
1069,"Houston County",-85.391221,31.20455,1391337.92322922,-1411819.98213825
1071,"Jackson County",-85.938698,34.731984,1282868.03695042,-1033386.72173813
1073,"Jefferson County",-86.814688,33.518601,1222483.70406172,-1179664.12355978
1075,"Lamar County",-88.109649,33.762769,1100064.17001436,-1170507.49244789
1077,"Lauderdale County",-87.608759,34.866179,1129968.27516473,-1042474.41658575
1079,"Lawrence County",-87.272414,34.543683,1165204.66029921,-1073397.05712754
1081,"Lee County",-85.345833,32.588092,1372764.05569082,-1259431.63201084
1083,"Limestone County",-86.938972,34.815612,1191245.67987734,-1038839.21739954
1085,"Lowndes County",-86.618688,32.162415,1261252.8520824,-1325766.89840592
1087,"Macon County",-85.715007,32.425739,1341222.55068417,-1283108.82511488
1089,"Madison County",-86.613232,34.746392,1221748.63355996,-1041800.37687965
1091,"Marengo County",-87.800648,32.340479,1148353.97909273,-1322859.16334605
1093,"Marion County",-87.8743,34.111797,1116723.00911443,-1129024.00964374
1095,"Marshall County",-86.293279,34.311974,1257647.65760317,-1084859.17222023
1097,"Mobile County",-88.170637,30.683993,1135740.78824094,-1509762.54479152
1099,"Monroe County",-87.360894,31.505611,1201283.45609547,-1408544.30792057
1101,"Montgomery County",-86.243797,32.346175,1293354.17869377,-1299994.98614027
1103,"Morgan County",-86.930781,34.514252,1196632.27332117,-1071866.37841036
1105,"Perry County",-87.369219,32.581066,1185152.22043021,-1290527.80382453
1107,"Pickens County",-88.066472,33.292973,1110520.73034929,-1221638.6912507
1109,"Pike County",-85.948647,31.787277,1329676.15631209,-1356786.5650852
1111,"Randolph County",-85.427266,33.257607,1354040.85416449,-1187298.8164387
1113,"Russell County",-85.062843,32.421972,1401769.90200985,-1273042.93840325
1115,"St. Clair County",-86.369107,33.660628,1261124.23327432,-1157546.38308446
1117,"Shelby County",-86.737978,33.290719,1233018.51299986,-1203596.70610134
1119,"Sumter County",-88.232646,32.57442,1104876.72865442,-1302833.01562719
1121,"Talladega County",-86.169238,33.372083,1284037.86419225,-1186244.06228183
1123,"Tallapoosa County",-85.864503,32.85306,1320451.40605616,-1238557.41700449
1125,"Tuscaloosa County",-87.520229,33.214154,1162051.02328703,-1223017.81983788
1127,"Walker County",-87.253922,33.834858,1177460.2811148,-1151102.96186146
1129,"Washington County",-88.18612,31.410368,1124735.41614882,-1430183.5439334
1131,"Wilcox County",-87.380407,31.999753,1192434.8688247,-1354549.42897655
1133,"Winston County",-87.415693,34.163824,1157819.07641555,-1117148.81236963
4001,"Apache County",-109.41484,35.577687,-852167.968850831,-998960.148873267
4003,"Cochise County",-110.063053,31.607357,-956842.592078275,-1429737.3120331
4005,"Coconino County",-111.590056,35.514426,-1048549.20725492,-981421.88333078
4007,"Gila County",-111.007494,33.82356,-1018189.20492177,-1174819.31003191
4009,"Graham County",-109.812181,32.86733,-919100.577626012,-1293753.27851878
4011,"Greenlee County",-109.248712,32.970402,-865488.065698171,-1288282.95579872
4012,"La Paz County",-114.172146,33.908361,-1306558.10000667,-1122149.90060579
4013,"Maricopa County",-112.04143,33.493403,-1117690.83332476,-1198176.00246398
4015,"Mohave County",-114.249634,35.069679,-1294153.42056956,-993414.273798391
4017,"Navajo County",-110.211155,34.893625,-932148.151765599,-1066037.1910781
4019,"Pima County",-110.96001,32.216707,-1034057.09369353,-1352276.78932256
4021,"Pinal County",-111.588364,33.060133,-1081754.45455413,-1251696.82429533
4023,"Santa Cruz County",-110.943195,31.434733,-1042114.29702494,-1438485.62248751
4025,"Yavapai County",-112.267767,34.629014,-1122243.90036487,-1070222.6917653
4027,"Yuma County",-114.598663,32.65004,-1366595.31349275,-1253529.56479079
5001,"Arkansas County",-91.461284,34.405316,785096.085547788,-1136876.6321549
5003,"Ashley County",-91.87136,33.179373,759133.987958408,-1275897.53891038
5005,"Baxter County",-92.383933,36.332208,683039.495127458,-931966.515892214
5007,"Benton County",-94.230543,36.337348,517763.286337687,-944575.524197833
5009,"Boone County",-93.099344,36.267871,619602.987158326,-944621.830659507
