"Country","Population"
"Afghanistan",28400000
"Albania",3639453
"Algeria",34178188
"Andorra",83888
"Angola",12799293
"Antigua",85632
"Argentina",40913584
"Armenia",2967004
"Australia",21262641
"Austria",8210281
"Azerbaijan",8238672
"Bahrain",727785
"Bangladesh",156050883
"Barbados",284589
"Belarus",9648533
"Belize",307899
"Benin",8791832
"Bhutan",691141
"Bolivia",9775246
"Bosnia and Herzegovina",3766991
"Botswana",1990876
"Brazil",198739269
"Brunei",388190
"Bulgaria",7204687
"Burkina Faso",15746232
"Burundi",8988091
"Cambodia",14494293
"Cameroon",18879301
"Canada",33487208
"Cape Verde",429474
"Central African Republic",4511488
"Chad",10329208
"Chile",16601707
"China",1346234016
"Colombia",45644023
"Comoros",752438
"Costa Rica",4253877
"Croatia",4489409
"Cuba",11451652
"Cyprus",531640
"Czech Republic",10211904
"Democratic Republic of the Congo",68692542
"Denmark",5606966
"Djibouti",516055
"Dominica",72660
"Dominican Republic",9650054
"East Timor",1131612
"Ecuador",14573101
"Egypt",83082869
"El Salvador",7185218
"England",58623776
"Equatorial Guinea",650702
"Eritrea",5647168
"Estonia",1299371
"Ethiopia",85237338
"Fiji",944720
"Finland",5277428
"Flemish Region",10789548
"France",63666382
"Gabon",1514993
"Gambia",1782893
"Georgia",4239791
"Germany",82329758
"Ghana",23832495
"Greece",10737428
"Grenada",90739
"Guatemala",13276517
"Guinea",10057975
"Guinea Bissau",1533964
"Guyana",772298
"Haiti",9035536
"Honduras",7792854
"Hungary",9905596
"Iceland",306694
"India",1166079220
"Indonesia",240271522
"Iran",66429284
"Iraq",31129225
"Ireland",4203200
"Israel",7233701
"Italy",58126212
"Ivory Coast",20617068
"Jamaica",2825928
"Japan",127078679
"Jordan",6342948
"Kazakhstan",15399437
"Kenya",39002772
"Kosovo",1804838
"Kuwait",2691158
"Kyrgyzstan",5431747
"Laos",6834942
"Latvia",2231503
"Lebanon",4017095
"Lesotho",2130819
"Liberia",3441790
"Libya",6310434
"Liechtenstein",34761
"Lithuania",3555179
"Luxembourg",491775
"Macedonia",2066718
"Madagascar",20653556
"Malawi",14268711
"Malaysia",25715819
"Maldives",396334
"Mali",12666987
"Malta",405165
"Mauritania",3129486
"Mauritius",1284264
"Mexico",111211789
"Moldova",4320748
"Monaco",32965
"Mongolia",3041142
"Montenegro",672180
"Morocco",34859364
"Mozambique",21669278
"Myanmar",48137741
"Namibia",2108665
"Nepal",28563377
"Netherlands",16877626
"New Zealand",4213418
"Nicaragua",5891199
"Niger",15306252
"Nigeria",149229090
"Norway",4676305
"Oman",3418085
"Pakistan",176242949
"Panama",3360474
"Papua New Guinea",5882103
"Paraguay",6995655
"Peru",29546963
"Philippines",97976603
"Poland",38482919
"Portugal",10204765
"Qatar",833285
"Republic of Congo",4012809
"Romania",22215421
"Russia",140041247
"Rwanda",10473282
"Saint Kitts and Nevis",40131
"Saint Lucia",160267
"Saint Vincent and the Grenadines",104574
"San Marino",30324
"Sao Tome and Principe",212679
"Saudi Arabia",28686633
"Senegal",13711597
"Serbia",5332944
"Seychelles",87476
"Sierra Leone",6440053
"Singapore",4657542
"Slovakia",5463046
"Slovenia",2005692
"Somalia",9832017
"South Africa",49052489
"South Korea",48508972
"South Sudan",10625176
"Spain",40525002
"Sri Lanka",21324791
"Sudan",25946220
"Suriname",481267
"Swaziland",1123913
"Sweden",9059651
"Switzerland",7604467
"Syria",20178485
"Taiwan",22974347
"Tajikistan",7349145
"Tanzania",42118532
"Thailand",65905410
"The Bahamas",309156
"Togo",6019877
"Trinidad and Tobago",1310000
"Tunisia",10486339
"Turkey",76805524
"Uganda",32369558
"Ukraine",45700395
"United Arab Emirates",4798491
"United States of America",318297903
"Uruguay",3494382
"Uzbekistan",27606007
"Vatican",832
"Venezuela",26814843
"Vietnam",86967524
"West Bank",4119083
"Western Sahara",0
"Yemen",23822783
"Zambia",11862740
"Zimbabwe",12619600
