"","Province.State","Country.Region","Lat","Long"
"1","","Afghanistan",33,65
"2","","Albania",41.1533,20.1683
"3","","Algeria",28.0339,1.6596
"4","","Andorra",42.5063,1.5218
"5","","Angola",-11.2027,17.8739
"6","","Antigua and Barbuda",17.0608,-61.7964
"7","","Argentina",-38.4161,-63.6167
"8","","Armenia",40.0691,45.0382
"9","Australian Capital Territory","Australia",-35.4735,149.0124
"10","New South Wales","Australia",-33.8688,151.2093
"11","Northern Territory","Australia",-12.4634,130.8456
"12","Queensland","Australia",-28.0167,153.4
"13","South Australia","Australia",-34.9285,138.6007
"14","Tasmania","Australia",-41.4545,145.9707
"15","Victoria","Australia",-37.8136,144.9631
"16","Western Australia","Australia",-31.9505,115.8605
"17","","Austria",47.5162,14.5501
"18","","Azerbaijan",40.1431,47.5769
"19","","Bahamas",25.0343,-77.3963
"20","","Bahrain",26.0275,50.55
"21","","Bangladesh",23.685,90.3563
"22","","Barbados",13.1939,-59.5432
"23","","Belarus",53.7098,27.9534
"24","","Belgium",50.8333,4
"25","","Benin",9.3077,2.3158
"26","","Bhutan",27.5142,90.4336
"27","","Bolivia",-16.2902,-63.5887
"28","","Bosnia and Herzegovina",43.9159,17.6791
"29","","Brazil",-14.235,-51.9253
"30","","Brunei",4.5353,114.7277
"31","","Bulgaria",42.7339,25.4858
"32","","Burkina Faso",12.2383,-1.5616
"33","","Cabo Verde",16.5388,-23.0418
"34","","Cambodia",11.55,104.9167
"35","","Cameroon",3.848,11.5021
"36","Alberta","Canada",53.9333,-116.5765
"37","British Columbia","Canada",49.2827,-123.1207
"38","Grand Princess","Canada",37.6489,-122.6655
"39","Manitoba","Canada",53.7609,-98.8139
"40","New Brunswick","Canada",46.5653,-66.4619
"41","Newfoundland and Labrador","Canada",53.1355,-57.6604
"42","Nova Scotia","Canada",44.682,-63.7443
"43","Ontario","Canada",51.2538,-85.3232
"44","Prince Edward Island","Canada",46.5107,-63.4168
"45","Quebec","Canada",52.9399,-73.5491
"46","Saskatchewan","Canada",52.9399,-106.4509
"47","","Central African Republic",6.6111,20.9394
"48","","Chad",15.4542,18.7322
"49","","Chile",-35.6751,-71.543
"50","Anhui","China",31.8257,117.2264
"51","Beijing","China",40.1824,116.4142
"52","Chongqing","China",30.0572,107.874
"53","Fujian","China",26.0789,117.9874
"54","Gansu","China",37.8099,101.0583
"55","Guangdong","China",23.3417,113.4244
"56","Guangxi","China",23.8298,108.7881
"57","Guizhou","China",26.8154,106.8748
"58","Hainan","China",19.1959,109.7453
"59","Hebei","China",39.549,116.1306
"60","Heilongjiang","China",47.862,127.7615
"61","Henan","China",33.882,113.614
"62","Hong Kong","China",22.3,114.2
"63","Hubei","China",30.9756,112.2707
"64","Hunan","China",27.6104,111.7088
"65","Inner Mongolia","China",44.0935,113.9448
"66","Jiangsu","China",32.9711,119.455
"67","Jiangxi","China",27.614,115.7221
"68","Jilin","China",43.6661,126.1923
"69","Liaoning","China",41.2956,122.6085
"70","Macau","China",22.1667,113.55
"71","Ningxia","China",37.2692,106.1655
"72","Qinghai","China",35.7452,95.9956
"73","Shaanxi","China",35.1917,108.8701
"74","Shandong","China",36.3427,118.1498
"75","Shanghai","China",31.202,121.4491
"76","Shanxi","China",37.5777,112.2922
"77","Sichuan","China",30.6171,102.7103
"78","Tianjin","China",39.3054,117.323
"79","Tibet","China",31.6927,88.0924
"80","Xinjiang","China",41.1129,85.2401
"81","Yunnan","China",24.974,101.487
"82","Zhejiang","China",29.1832,120.0934
"83","","Colombia",4.5709,-74.2973
"84","","Congo (Brazzaville)",-4.0383,21.7587
"85","","Congo (Kinshasa)",-4.0383,21.7587
"86","","Costa Rica",9.7489,-83.7534
"87","","Cote d'Ivoire",7.54,-5.5471
"88","","Croatia",45.1,15.2
"89","","Diamond Princess",0,0
"90","","Cuba",22,-80
"91","","Cyprus",35.1264,33.4299
"92","","Czechia",49.8175,15.473
"93","Faroe Islands","Denmark",61.8926,-6.9118
"94","Greenland","Denmark",71.7069,-42.6043
"95","","Denmark",56.2639,9.5018
"96","","Djibouti",11.8251,42.5903
"97","","Dominican Republic",18.7357,-70.1627
"98","","Ecuador",-1.8312,-78.1834
"99","","Egypt",26,30
"100","","El Salvador",13.7942,-88.8965
"101","","Equatorial Guinea",1.5,10
"102","","Eritrea",15.1794,39.7823
"103","","Estonia",58.5953,25.0136
"104","","Eswatini",-26.5225,31.4659
"105","","Ethiopia",9.145,40.4897
"106","","Fiji",-17.7134,178.065
"107","","Finland",64,26
"108","French Guiana","France",3.9339,-53.1258
"109","French Polynesia","France",-17.6797,149.4068
"110","Guadeloupe","France",16.25,-61.5833
"111","Mayotte","France",-12.8275,45.1662
"112","New Caledonia","France",-20.9043,165.618
"113","Reunion","France",-21.1351,55.2471
"114","Saint Barthelemy","France",17.9,-62.8333
"115","St Martin","France",18.0708,-63.0501
"116","Martinique","France",14.6415,-61.0242
"117","","France",46.2276,2.2137
"118","","Gabon",-0.8037,11.6094
"119","","Gambia",13.4432,-15.3101
"120","","Georgia",42.3154,43.3569
"121","","Germany",51,9
"122","","Ghana",7.9465,-1.0232
"123","","Greece",39.0742,21.8243
"124","","Guatemala",15.7835,-90.2308
"125","","Guinea",9.9456,-9.6966
"126","","Guyana",5,-58.75
"127","","Haiti",18.9712,-72.2852
"128","","Holy See",41.9029,12.4534
"129","","Honduras",15.2,-86.2419
"130","","Hungary",47.1625,19.5033
"131","","Iceland",64.9631,-19.0208
"132","","India",21,78
"133","","Indonesia",-0.7893,113.9213
"134","","Iran",32,53
"135","","Iraq",33,44
"136","","Ireland",53.1424,-7.6921
"137","","Israel",31,35
"138","","Italy",43,12
"139","","Jamaica",18.1096,-77.2975
"140","","Japan",36,138
"141","","Jordan",31.24,36.51
"142","","Kazakhstan",48.0196,66.9237
"143","","Kenya",-0.0236,37.9062
"144","","Korea, South",36,128
"145","","Kuwait",29.5,47.75
"146","","Kyrgyzstan",41.2044,74.7661
"147","","Latvia",56.8796,24.6032
"148","","Lebanon",33.8547,35.8623
"149","","Liberia",6.4281,-9.4295
"150","","Liechtenstein",47.14,9.55
"151","","Lithuania",55.1694,23.8813
"152","","Luxembourg",49.8153,6.1296
"153","","Madagascar",-18.7669,46.8691
"154","","Malaysia",2.5,112.5
"155","","Maldives",3.2028,73.2207
"156","","Malta",35.9375,14.3754
"157","","Mauritania",21.0079,10.9408
"158","","Mauritius",-20.2,57.5
"159","","Mexico",23.6345,-102.5528
"160","","Moldova",47.4116,28.3699
"161","","Monaco",43.7333,7.4167
"162","","Mongolia",46.8625,103.8467
"163","","Montenegro",42.5,19.3
"164","","Morocco",31.7917,-7.0926
"165","","Namibia",-22.9576,18.4904
"166","","Nepal",28.1667,84.25
"167","Aruba","Netherlands",12.5186,-70.0358
"168","Curacao","Netherlands",12.1696,-68.99
"169","Sint Maarten","Netherlands",18.0425,-63.0548
"170","","Netherlands",52.1326,5.2913
"171","","New Zealand",-40.9006,174.886
"172","","Nicaragua",12.8654,-85.2072
"173","","Niger",17.6078,8.0817
"174","","Nigeria",9.082,8.6753
"175","","North Macedonia",41.6086,21.7453
"176","","Norway",60.472,8.4689
"177","","Oman",21,57
"178","","Pakistan",30.3753,69.3451
"179","","Panama",8.538,-80.7821
"180","","Papua New Guinea",-6.315,143.9555
"181","","Paraguay",-23.4425,-58.4438
"182","","Peru",-9.19,-75.0152
"183","","Philippines",13,122
"184","","Poland",51.9194,19.1451
"185","","Portugal",39.3999,-8.2245
"186","","Qatar",25.3548,51.1839
"187","","Romania",45.9432,24.9668
"188","","Russia",60,90
"189","","Rwanda",-1.9403,29.8739
"190","","Saint Lucia",13.9094,-60.9789
"191","","Saint Vincent and the Grenadines",12.9843,-61.2872
"192","","San Marino",43.9424,12.4578
"193","","Saudi Arabia",24,45
"194","","Senegal",14.4974,-14.4524
"195","","Serbia",44.0165,21.0059
"196","","Seychelles",-4.6796,55.492
"197","","Singapore",1.2833,103.8333
"198","","Slovakia",48.669,19.699
"199","","Slovenia",46.1512,14.9955
"200","","Somalia",5.1521,46.1996
"201","","South Africa",-30.5595,22.9375
"202","","Spain",40,-4
"203","","Sri Lanka",7,81
"204","","Sudan",12.8628,30.2176
"205","","Suriname",3.9193,-56.0278
"206","","Sweden",63,16
"207","","Switzerland",46.8182,8.2275
"208","","Taiwan*",23.7,121
"209","","Tanzania",-6.369,34.8888
"210","","Thailand",15,101
"211","","Togo",8.6195,0.8248
"212","","Trinidad and Tobago",10.6918,-61.2225
"213","","Tunisia",34,9
"214","","Turkey",38.9637,35.2433
"215","","Uganda",1,32
"216","","Ukraine",48.3794,31.1656
"217","","United Arab Emirates",24,54
"218","Bermuda","United Kingdom",32.3078,-64.7505
"219","Cayman Islands","United Kingdom",19.3133,-81.2546
"220","Channel Islands","United Kingdom",49.3723,-2.3644
"221","Gibraltar","United Kingdom",36.1408,-5.3536
"222","Isle of Man","United Kingdom",54.2361,-4.5481
"223","Montserrat","United Kingdom",16.7425,-62.1874
"224","","United Kingdom",55.3781,-3.436
"225","","Uruguay",-32.5228,-55.7658
"226","","US",37.0902,-95.7129
"227","","Uzbekistan",41.3775,64.5853
"228","","Venezuela",6.4238,-66.5897
"229","","Vietnam",16,108
"230","","Zambia",-15.4167,28.2833
