"Country","Population","Abbreviation"
"Afghanistan",28400000,"AFG"
"Albania",3639453,"ALB"
"Algeria",34178188,"DZA"
"Andorra",83888,"AND"
"Angola",12799293,"AGO"
"Antigua",85632,"ATG"
"Argentina",40913584,"ARG"
"Armenia",2967004,"ARM"
"Australia",21262641,"AUS"
"Austria",8210281,"AUT"
"Azerbaijan",8238672,"AZE"
"Bahrain",727785,"BHR"
"Bangladesh",156050883,"BGD"
"Barbados",284589,"BRB"
"Belarus",9648533,"BLR"
"Belize",307899,"BLZ"
"Benin",8791832,"BEN"
"Bhutan",691141,"BTN"
"Bolivia",9775246,"BOL"
"Bosnia and Herzegovina",3766991,"BIH"
"Botswana",1990876,"BWA"
"Brazil",198739269,"BRA"
"Brunei",388190,"BRN"
"Bulgaria",7204687,"BGR"
"Burkina Faso",15746232,"BFA"
"Burundi",8988091,"BDI"
"Cambodia",14494293,"KHM"
"Cameroon",18879301,"CMR"
"Canada",33487208,"CAN"
"Cape Verde",429474,"CPV"
"Central African Republic",4511488,"CAF"
"Chad",10329208,"TCD"
"Chile",16601707,"CHL"
"China",1346234016,"CHN"
"Colombia",45644023,"COL"
"Costa Rica",4253877,"CRI"
"Croatia",4489409,"HRV"
"Cuba",11451652,"CUB"
"Cyprus",531640,"CYP"
"Czech Republic",10211904,"CZE"
"Democratic Republic of the Congo",68692542,"COD"
"Denmark",5500510,"DNK"
"Djibouti",516055,"DJI"
"Dominica",72660,"DMA"
"Dominican Republic",9650054,"DOM"
"East Timor",1131612,"TLS"
"Ecuador",14573101,"ECU"
"Egypt",83082869,"EGY"
"El Salvador",7185218,"SLV"
"England",58387917,"GBR"
"Equatorial Guinea",650702,"GNQ"
"Eritrea",5647168,"ERI"
"Estonia",1299371,"EST"
"Ethiopia",85237338,"ETH"
"Fiji",944720,"FJI"
"Finland",5277428,"FIN"
"Flemish Region",10789548,"BEL"
"France",61524191,"FRA"
"Gabon",1514993,"GAB"
"Gambia",1782893,"GMB"
"Georgia",4239791,"GEO"
"Germany",82329758,"DEU"
"Ghana",23832495,"GHA"
"Greece",10737428,"GRC"
"Grenada",90739,"GRD"
"Guatemala",13276517,"GTM"
"Guinea",10057975,"GIN"
"Guinea Bissau",1533964,"GNB"
"Guyana",772298,"GUY"
"Haiti",9035536,"HTI"
"Honduras",7792854,"HND"
