"","County.Name","State","stateFIPS"
"1","Statewide Unallocated","AL",1
"2","Autauga County","AL",1
"3","Baldwin County","AL",1
"4","Barbour County","AL",1
"5","Bibb County","AL",1
"6","Blount County","AL",1
"7","Bullock County","AL",1
"8","Butler County","AL",1
"9","Calhoun County","AL",1
"10","Chambers County","AL",1
"11","Cherokee County","AL",1
"12","Chilton County","AL",1
"13","Choctaw County","AL",1
"14","Clarke County","AL",1
"15","Clay County","AL",1
"16","Cleburne County","AL",1
"17","Coffee County","AL",1
"18","Colbert County","AL",1
"19","Conecuh County","AL",1
"20","Coosa County","AL",1
"21","Covington County","AL",1
"22","Crenshaw County","AL",1
"23","Cullman County","AL",1
"24","Dale County","AL",1
"25","Dallas County","AL",1
"26","DeKalb County","AL",1
"27","Elmore County","AL",1
"28","Escambia County","AL",1
"29","Etowah County","AL",1
"30","Fayette County","AL",1
"31","Franklin County","AL",1
"32","Geneva County","AL",1
"33","Greene County","AL",1
"34","Hale County","AL",1
"35","Henry County","AL",1
"36","Houston County","AL",1
"37","Jackson County","AL",1
"38","Jefferson County","AL",1
"39","Lamar County","AL",1
"40","Lauderdale County","AL",1
"41","Lawrence County","AL",1
"42","Lee County","AL",1
"43","Limestone County","AL",1
"44","Lowndes County","AL",1
"45","Macon County","AL",1
"46","Madison County","AL",1
"47","Marengo County","AL",1
"48","Marion County","AL",1
"49","Marshall County","AL",1
"50","Mobile County","AL",1
"51","Monroe County","AL",1
"52","Montgomery County","AL",1
"53","Morgan County","AL",1
"54","Perry County","AL",1
"55","Pickens County","AL",1
"56","Pike County","AL",1
"57","Randolph County","AL",1
"58","Russell County","AL",1
"59","St. Clair County","AL",1
"60","Shelby County","AL",1
"61","Sumter County","AL",1
"62","Talladega County","AL",1
"63","Tallapoosa County","AL",1
"64","Tuscaloosa County","AL",1
"65","Walker County","AL",1
"66","Washington County","AL",1
"67","Wilcox County","AL",1
"68","Winston County","AL",1
"69","Statewide Unallocated","AK",2
"70","Aleutians East Borough","AK",2
"71","Aleutians West Census Area","AK",2
"72","Municipality of Anchorage","AK",2
"73","Bethel Census Area","AK",2
"74","Bristol Bay Borough","AK",2
"75","Denali Borough","AK",2
"76","Dillingham Census Area","AK",2
"77","Fairbanks North Star Borough","AK",2
"78","Haines Borough","AK",2
"79","Hoonah-Angoon Census Area","AK",2
"80","City and Borough of Juneau","AK",2
"81","Kenai Peninsula Borough","AK",2
"82","Ketchikan Gateway Borough","AK",2
"83","Kodiak Island Borough","AK",2
"84","Kusilvak Census Area","AK",2
"85","Lake and Peninsula Borough","AK",2
"86","Matanuska-Susitna Borough","AK",2
"87","Nome Census Area","AK",2
"88","North Slope Borough","AK",2
"89","Northwest Arctic Borough","AK",2
"90","Petersburg Census Area","AK",2
"91","Prince of Wales-Hyder Census Area","AK",2
"92","Sitka City and Borough","AK",2
"93","Skagway Municipality","AK",2
"94","Southeast Fairbanks Census Area","AK",2
"95","Valdez-Cordova Census Area","AK",2
"96","Wade Hampton Census Area","AK",2
"97","Wrangell City and Borough","AK",2
"98","Yakutat City and Borough","AK",2
"99","Yukon-Koyukuk Census Area","AK",2
"100","Statewide Unallocated","AZ",4
"101","Apache County","AZ",4
"102","Cochise County","AZ",4
"103","Coconino County","AZ",4
"104","Gila County","AZ",4
"105","Graham County","AZ",4
"106","Greenlee County","AZ",4
"107","La Paz County","AZ",4
"108","Maricopa County","AZ",4
"109","Mohave County","AZ",4
"110","Navajo County","AZ",4
"111","Pima County","AZ",4
"112","Pinal County","AZ",4
"113","Santa Cruz County","AZ",4
"114","Yavapai County","AZ",4
"115","Yuma County","AZ",4
"116","Statewide Unallocated","AR",5
"117","Arkansas County","AR",5
"118","Ashley County","AR",5
"119","Baxter County","AR",5
"120","Benton County","AR",5
"121","Boone County","AR",5
"122","Bradley County","AR",5
"123","Calhoun County","AR",5
"124","Carroll County","AR",5
"125","Chicot County","AR",5
"126","Clark County","AR",5
"127","Clay County","AR",5
"128","Cleburne County","AR",5
"129","Cleveland County","AR",5
"130","Columbia County","AR",5
"131","Conway County","AR",5
"132","Craighead County","AR",5
"133","Crawford County","AR",5
"134","Crittenden County","AR",5
"135","Cross County","AR",5
"136","Dallas County","AR",5
"137","Desha County","AR",5
"138","Drew County","AR",5
"139","Faulkner County","AR",5
"140","Franklin County","AR",5
"141","Fulton County","AR",5
"142","Garland County","AR",5
"143","Grant County","AR",5
"144","Greene County","AR",5
"145","Hempstead County","AR",5
"146","Hot Spring County","AR",5
"147","Howard County","AR",5
"148","Independence County","AR",5
"149","Izard County","AR",5
"150","Jackson County","AR",5
"151","Jefferson County","AR",5
"152","Johnson County","AR",5
"153","Lafayette County","AR",5
"154","Lawrence County","AR",5
"155","Lee County","AR",5
"156","Lincoln County","AR",5
"157","Little River County","AR",5
"158","Logan County","AR",5
"159","Lonoke County","AR",5
"160","Madison County","AR",5
"161","Marion County","AR",5
"162","Miller County","AR",5
"163","Mississippi County","AR",5
"164","Monroe County","AR",5
"165","Montgomery County","AR",5
"166","Nevada County","AR",5
"167","Newton County","AR",5
"168","Ouachita County","AR",5
"169","Perry County","AR",5
"170","Phillips County","AR",5
"171","Pike County","AR",5
"172","Poinsett County","AR",5
"173","Polk County","AR",5
"174","Pope County","AR",5
"175","Prairie County","AR",5
"176","Pulaski County","AR",5
"177","Randolph County","AR",5
"178","St. Francis County","AR",5
"179","Saline County","AR",5
"180","Scott County","AR",5
"181","Searcy County","AR",5
"182","Sebastian County","AR",5
"183","Sevier County","AR",5
