Key,State,County,Replacement,State,County
Alaska Aleutians East Borough,Alaska,Aleutians East Borough,,Alaska,
Alaska Aleutians West Census Area,Alaska,Aleutians West Census Area,,Alaska,
Alaska Bethel Census Area,Alaska,Bethel Census Area,Bethel,Alaska,
Alaska Bristol Bay Borough,Alaska,Bristol Bay Borough,,Alaska,
Alaska City and Borough of Juneau,Alaska,City and Borough of Juneau,Juneau,Alaska,
Alaska Denali Borough,Alaska,Denali Borough,,Alaska,
Alaska Dillingham Census Area,Alaska,Dillingham Census Area,,Alaska,
Alaska Fairbanks North Star Borough,Alaska,Fairbanks North Star Borough,Fairbanks North Star,Alaska,
Alaska Haines Borough,Alaska,Haines Borough,,Alaska,
Alaska Hoonah-Angoon Census Area,Alaska,Hoonah-Angoon Census Area,,Alaska,
Alaska Ketchikan Gateway Borough,Alaska,Ketchikan Gateway Borough,Ketchikan Gateway,Alaska,
Alaska Kodiak Island Borough,Alaska,Kodiak Island Borough,Kodiak Island,Colorado,
Alaska Kusilvak Census Area,Alaska,Kusilvak Census Area,,Maryland,
Alaska Lake and Peninsula Borough,Alaska,Lake and Peninsula Borough,,,
Alaska Matanuska-Susitna Borough,Alaska,Matanuska-Susitna Borough,Matanuska-Susitna,,
Alaska Municipality of Anchorage,Alaska,Municipality of Anchorage,Anchorage,,
Alaska Nome Census Area,Alaska,Nome Census Area,,,
Alaska North Slope Borough,Alaska,North Slope Borough,North Slope,,
Alaska Northwest Arctic Borough,Alaska,Northwest Arctic Borough,,,
Alaska Petersburg Census Area,Alaska,Petersburg Census Area,,,
Alaska Prince of Wales-Hyder Census Area,Alaska,Prince of Wales-Hyder Census Area,,,
Alaska Sitka City and Borough,Alaska,Sitka City and Borough,Sitka,,
Alaska Skagway Municipality,Alaska,Skagway Municipality,,,
Alaska Southeast Fairbanks Census Area,Alaska,Southeast Fairbanks Census Area,Southeast Fairbanks,,
Alaska Valdez-Cordova Census Area,Alaska,Valdez-Cordova Census Area,Valdez-Cordova,,
Alaska Wrangell City and Borough,Alaska,Wrangell City and Borough,,,
Alaska Yakutat City and Borough,Alaska,Yakutat City and Borough,,,
Alaska Yukon-Koyukuk Census Area,Alaska,Yukon-Koyukuk Census Area,,,
Arkansas Calhoun County,Arkansas,Calhoun County,,,
Arkansas Lee County,Arkansas,Lee County,,,
Arkansas Woodruff County,Arkansas,Woodruff County,,,
California Alpine County,California,Alpine County,,,
