"","sovereignt","type","admin","geounit","subunit","name","name_long","brk_name","formal_en","name_sort"
"0","Netherlands","Country","Aruba","Aruba","Aruba","Aruba","Aruba","Aruba","Aruba","Aruba"
"1","Afghanistan","Sovereign country","Afghanistan","Afghanistan","Afghanistan","Afghanistan","Afghanistan","Afghanistan","Islamic State of Afghanistan","Afghanistan"
"2","Angola","Sovereign country","Angola","Angola","Angola","Angola","Angola","Angola","People's Republic of Angola","Angola"
"3","United Kingdom","Dependency","Anguilla","Anguilla","Anguilla","Anguilla","Anguilla","Anguilla",NA,"Anguilla"
"4","Albania","Sovereign country","Albania","Albania","Albania","Albania","Albania","Albania","Republic of Albania","Albania"
"5","Finland","Country","Aland","Aland","Aland","Aland","Aland Islands","Aland","Åland Islands","Aland"
"6","Andorra","Sovereign country","Andorra","Andorra","Andorra","Andorra","Andorra","Andorra","Principality of Andorra","Andorra"
"7","United Arab Emirates","Sovereign country","United Arab Emirates","United Arab Emirates","United Arab Emirates","United Arab Emirates","United Arab Emirates","United Arab Emirates","United Arab Emirates","United Arab Emirates"
"8","Argentina","Sovereign country","Argentina","Argentina","Argentina","Argentina","Argentina","Argentina","Argentine Republic","Argentina"
"9","Armenia","Sovereign country","Armenia","Armenia","Armenia","Armenia","Armenia","Armenia","Republic of Armenia","Armenia"
"10","United States of America","Dependency","American Samoa","American Samoa","American Samoa","American Samoa","American Samoa","American Samoa","American Samoa","American Samoa"
"11","Antarctica","Indeterminate","Antarctica","Antarctica","Antarctica","Antarctica","Antarctica","Antarctica",NA,"Antarctica"
"12","Australia","Dependency","Ashmore and Cartier Islands","Ashmore and Cartier Islands","Ashmore and Cartier Islands","Ashmore and Cartier Is.","Ashmore and Cartier Islands","Ashmore and Cartier Is.","Territory of Ashmore and Cartier Islands","Ashmore and Cartier Islands"
"13","France","Dependency","French Southern and Antarctic Lands","French Southern and Antarctic Lands","French Southern and Antarctic Lands","Fr. S. Antarctic Lands","French Southern and Antarctic Lands","Fr. S. and Antarctic Lands","Territory of the French Southern and Antarctic Lands","French Southern and Antarctic Lands"
"14","Antigua and Barbuda","Sovereign country","Antigua and Barbuda","Antigua and Barbuda","Antigua and Barbuda","Antigua and Barb.","Antigua and Barbuda","Antigua and Barb.","Antigua and Barbuda","Antigua and Barbuda"
"15","Australia","Country","Australia","Australia","Australia","Australia","Australia","Australia","Commonwealth of Australia","Australia"
"16","Austria","Sovereign country","Austria","Austria","Austria","Austria","Austria","Austria","Republic of Austria","Austria"
"17","Azerbaijan","Sovereign country","Azerbaijan","Azerbaijan","Azerbaijan","Azerbaijan","Azerbaijan","Azerbaijan","Republic of Azerbaijan","Azerbaijan"
"18","Burundi","Sovereign country","Burundi","Burundi","Burundi","Burundi","Burundi","Burundi","Republic of Burundi","Burundi"
"19","Belgium","Sovereign country","Belgium","Belgium","Belgium","Belgium","Belgium","Belgium","Kingdom of Belgium","Belgium"
