FIPS,Abbreviation,State,Governor,2020 Election
1,AL,Alabama,Republican,Trump
2,AK,Alaska,Republican,Trump
4,AZ,Arizona,Republican,Biden
5,AR,Arkansas,Republican,Trump
6,CA,California,Democratic,Biden
8,CO,Colorado,Democratic,Biden
9,CT,Connecticut,Democratic,Biden
10,DE,Delaware,Democratic,Biden
11,DC,District of Columbia,Democratic,Biden
12,FL,Florida,Republican,Trump
13,GA,Georgia,Republican,Biden
15,HI,Hawaii,Democratic,Biden
16,ID,Idaho,Republican,Trump
17,IL,Illinois,Democratic,Biden
18,IN,Indiana,Republican,Trump
19,IA,Iowa,Republican,Trump
20,KS,Kansas,Democratic,Trump
21,KY,Kentucky,Democratic,Trump
22,LA,Louisiana,Democratic,Trump
23,ME,Maine,Democratic,Biden
24,MD,Maryland,Republican,Biden
25,MA,Massachusetts,Republican,Biden
26,MI,Michigan,Democratic,Biden
27,MN,Minnesota,Democratic,Biden
28,MS,Mississippi,Republican,Trump
29,MO,Missouri,Republican,Trump
30,MT,Montana,Democratic,Trump
31,NE,Nebraska,Republican,Trump
32,NV,Nevada,Democratic,Biden
33,NH,New Hampshire,Republican,Biden
34,NJ,New Jersey,Democratic,Biden
35,NM,New Mexico,Democratic,Biden
36,NY,New York,Democratic,Biden
37,NC,North Carolina,Democratic,Trump
38,ND,North Dakota,Republican,Trump
39,OH,Ohio,Republican,Trump
40,OK,Oklahoma,Republican,Trump
41,OR,Oregon,Democratic,Biden
42,PA,Pennsylvania,Democratic,Biden
44,RI,Rhode Island,Democratic,Biden
45,SC,South Carolina,Republican,Trump
46,SD,South Dakota,Republican,Trump
47,TN,Tennessee,Republican,Trump
48,TX,Texas,Republican,Trump
49,UT,Utah,Republican,Trump
50,VT,Vermont,Republican,Biden
51,VA,Virginia,Democratic,Biden
53,WA,Washington,Democratic,Biden
54,WV,West Virginia,Republican,Trump
55,WI,Wisconsin,Democratic,Biden
56,WY,Wyoming,Republican,Trump
