"","sovereignt","sov_a3","admin","adm0_a3","geounit","gu_a3","subunit","su_a3","name","name_long","brk_a3","brk_name","formal_en","name_sort","iso_a3","adm0_a3_is","adm0_a3_us","continent","region_un","subregion","region_wb"
"0","Netherlands","NL1","Aruba","ABW","Aruba","ABW","Aruba","ABW","Aruba","Aruba","ABW","Aruba","Aruba","Aruba","ABW","ABW","ABW","North America","Americas","Caribbean","Latin America & Caribbean"
"1","Antigua and Barbuda","ATG","Antigua and Barbuda","ATG","Antigua","ACA","Antigua","ACA","Antigua","Antigua","ACA","Antigua",NA,"Antigua",NA,"ATG","ATG","North America","Americas","Caribbean","Latin America & Caribbean"
"2","Antigua and Barbuda","ATG","Antigua and Barbuda","ATG","Barbuda","ACB","Barbuda","ACB","Barbuda","Barbuda","ACB","Barbuda",NA,"Barbuda",NA,"ATG","ATG","North America","Americas","Caribbean","Latin America & Caribbean"
"3","Afghanistan","AFG","Afghanistan","AFG","Afghanistan","AFG","Afghanistan","AFG","Afghanistan","Afghanistan","AFG","Afghanistan","Islamic State of Afghanistan","Afghanistan","AFG","AFG","AFG","Asia","Asia","Southern Asia","South Asia"
"4","Angola","AGO","Angola","AGO","Angola","AGO","Angola","AGO","Angola","Angola","AGO","Angola","People's Republic of Angola","Angola","AGO","AGO","AGO","Africa","Africa","Middle Africa","Sub-Saharan Africa"
"5","United Kingdom","GB1","Anguilla","AIA","Anguilla","AIA","Anguilla","AIA","Anguilla","Anguilla","AIA","Anguilla",NA,"Anguilla","AIA","AIA","AIA","North America","Americas","Caribbean","Latin America & Caribbean"
"6","Albania","ALB","Albania","ALB","Albania","ALB","Albania","ALB","Albania","Albania","ALB","Albania","Republic of Albania","Albania","ALB","ALB","ALB","Europe","Europe","Southern Europe","Europe & Central Asia"
"7","Finland","FI1","Aland","ALD","Aland","ALD","Aland","ALD","Aland","Aland Islands","ALD","Aland","Åland Islands","Aland","ALA","ALA","ALD","Europe","Europe","Northern Europe","Europe & Central Asia"
"8","Andorra","AND","Andorra","AND","Andorra","AND","Andorra","AND","Andorra","Andorra","AND","Andorra","Principality of Andorra","Andorra","AND","AND","AND","Europe","Europe","Southern Europe","Europe & Central Asia"
"9","United Arab Emirates","ARE","United Arab Emirates","ARE","United Arab Emirates","ARE","United Arab Emirates","ARE","United Arab Emirates","United Arab Emirates","ARE","United Arab Emirates","United Arab Emirates","United Arab Emirates","ARE","ARE","ARE","Asia","Asia","Western Asia","Middle East & North Africa"
"10","Argentina","ARG","Argentina","ARG","Argentina","ARG","Argentina","ARG","Argentina","Argentina","ARG","Argentina","Argentine Republic","Argentina","ARG","ARG","ARG","South America","Americas","South America","Latin America & Caribbean"
"11","Armenia","ARM","Armenia","ARM","Armenia","ARM","Armenia","ARM","Armenia","Armenia","ARM","Armenia","Republic of Armenia","Armenia","ARM","ARM","ARM","Asia","Asia","Western Asia","Europe & Central Asia"
"12","United States of America","US1","American Samoa","ASM","American Samoa","ASM","American Samoa","ASM","American Samoa","American Samoa","ASM","American Samoa","American Samoa","American Samoa","ASM","ASM","ASM","Oceania","Oceania","Polynesia","East Asia & Pacific"
"13","Antarctica","ATA","Antarctica","ATA","Antarctica","ATA","Antarctica","ATA","Antarctica","Antarctica","ATA","Antarctica",NA,"Antarctica","ATA","ATA","ATA","Antarctica","Antarctica","Antarctica","Antarctica"
